mes,dimension,aporte_previo,aporte_actual,cambio_aporte,entran,salen
2026-01,alianzas_territoriales,13.357,12.179,-1.178,,iaf_transferencias
2026-01,cohesion_interna,10.995,15.0,4.005,,
2026-01,conflicto_social,10.0,9.4,-0.6,,
2026-01,imagen_voto,6.16,6.58,0.42,,
2026-01,poder_judicial,4.56,4.53,-0.03,,
2026-01,poder_legislativo,7.434,7.434,0.0,,
2026-01,sector_privado,10.608,10.582,-0.026,,
2026-02,alianzas_territoriales,12.179,10.507,-1.672,,
2026-02,cohesion_interna,15.0,15.0,0.0,,
2026-02,conflicto_social,9.4,10.0,0.6,,
2026-02,imagen_voto,6.58,6.538,-0.042,,
2026-02,poder_judicial,4.53,4.455,-0.075,,
2026-02,poder_legislativo,7.434,7.623,0.189,,
2026-02,sector_privado,10.582,10.556,-0.026,,
2026-03,alianzas_territoriales,10.507,12.293,1.786,,
2026-03,cohesion_interna,15.0,15.0,0.0,,
2026-03,conflicto_social,10.0,9.94,-0.06,,
2026-03,imagen_voto,6.538,6.643,0.105,,
2026-03,poder_judicial,4.455,4.065,-0.39,,
2026-03,poder_legislativo,7.623,8.4,0.777,,
2026-03,sector_privado,10.556,10.582,0.026,,
2026-04,alianzas_territoriales,12.293,12.673,0.38,,
2026-04,cohesion_interna,15.0,15.0,0.0,,
2026-04,conflicto_social,9.94,7.52,-2.42,,
2026-04,imagen_voto,6.643,5.516,-1.127,,
2026-04,poder_judicial,4.065,3.945,-0.12,,
2026-04,poder_legislativo,8.4,7.476,-0.924,,
2026-04,sector_privado,10.582,10.504,-0.078,,
2026-05,alianzas_territoriales,12.673,18.278,5.605,,
2026-05,cohesion_interna,15.0,15.0,0.0,,
2026-05,conflicto_social,7.52,6.59,-0.93,,
2026-05,imagen_voto,5.516,5.18,-0.336,,
2026-05,poder_judicial,3.945,3.885,-0.06,,
2026-05,poder_legislativo,7.476,8.085,0.609,,
2026-05,sector_privado,10.504,10.348,-0.156,,
2026-06,alianzas_territoriales,18.278,18.278,0.0,,
2026-06,cohesion_interna,15.0,14.505,-0.495,,
2026-06,conflicto_social,6.59,4.89,-1.7,,jornadas_individuales_no_trabajadas_12m
2026-06,imagen_voto,5.18,5.11,-0.07,,
2026-06,poder_judicial,3.885,5.505,1.62,,
2026-06,poder_legislativo,8.085,10.353,2.268,,
2026-06,sector_privado,10.348,9.802,-0.546,,
2026-07,alianzas_territoriales,18.278,18.278,0.0,,
2026-07,cohesion_interna,14.505,14.505,0.0,,
2026-07,conflicto_social,4.89,5.25,0.36,,
2026-07,imagen_voto,5.11,5.152,0.042,,
2026-07,poder_judicial,5.505,5.835,0.33,,
2026-07,poder_legislativo,10.353,9.408,-0.945,,
2026-07,sector_privado,9.802,9.464,-0.338,,
2026-08,alianzas_territoriales,18.278,16.397,-1.881,,
2026-08,cohesion_interna,14.505,15.0,0.495,,
2026-08,conflicto_social,5.25,5.29,0.04,,
2026-08,imagen_voto,5.152,5.152,0.0,,
2026-08,poder_judicial,5.835,5.745,-0.09,,
2026-08,poder_legislativo,9.408,11.298,1.89,,
2026-08,sector_privado,9.464,9.282,-0.182,,
