fecha,indicador,valor,unidad,fuente
2026-06-01,icg_utdt,2.07,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2026-05-01,icg_utdt,1.99,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2026-04-01,icg_utdt,2.023,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2026-03-01,icg_utdt,2.301,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2026-02-01,icg_utdt,2.383,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2026-01-01,icg_utdt,2.397,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-12-01,icg_utdt,2.465,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-11-01,icg_utdt,2.468,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-10-01,icg_utdt,2.101,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-09-01,icg_utdt,1.944,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-08-01,icg_utdt,2.118,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-07-01,icg_utdt,2.451,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-06-01,icg_utdt,2.336,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-05-01,icg_utdt,2.448,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-04-01,icg_utdt,2.331,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-03-01,icg_utdt,2.42,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-02-01,icg_utdt,2.558,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2025-01-01,icg_utdt,2.605,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2024-12-01,icg_utdt,2.655,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2024-11-01,icg_utdt,2.664,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2024-10-01,icg_utdt,2.425,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
