fecha,indicador,valor,unidad,fuente
2026-05-01,peso_tarifas,2.4,% m/m regulados,INDEC serie 148.3
2026-04-01,peso_tarifas,4.68,% m/m regulados,INDEC serie 148.3
2026-03-01,peso_tarifas,5.08,% m/m regulados,INDEC serie 148.3
2026-02-01,peso_tarifas,4.25,% m/m regulados,INDEC serie 148.3
2026-01-01,peso_tarifas,2.43,% m/m regulados,INDEC serie 148.3
2025-12-01,peso_tarifas,3.29,% m/m regulados,INDEC serie 148.3
2025-11-01,peso_tarifas,2.89,% m/m regulados,INDEC serie 148.3
2025-10-01,peso_tarifas,2.56,% m/m regulados,INDEC serie 148.3
2025-09-01,peso_tarifas,2.63,% m/m regulados,INDEC serie 148.3
2025-08-01,peso_tarifas,2.67,% m/m regulados,INDEC serie 148.3
2025-07-01,peso_tarifas,2.31,% m/m regulados,INDEC serie 148.3
2025-06-01,peso_tarifas,2.23,% m/m regulados,INDEC serie 148.3
2025-05-01,peso_tarifas,1.31,% m/m regulados,INDEC serie 148.3
2025-04-01,peso_tarifas,1.77,% m/m regulados,INDEC serie 148.3
2025-03-01,peso_tarifas,3.21,% m/m regulados,INDEC serie 148.3
2025-02-01,peso_tarifas,2.32,% m/m regulados,INDEC serie 148.3
2025-01-01,peso_tarifas,2.61,% m/m regulados,INDEC serie 148.3
2024-12-01,peso_tarifas,3.37,% m/m regulados,INDEC serie 148.3
2024-11-01,peso_tarifas,3.54,% m/m regulados,INDEC serie 148.3
2024-10-01,peso_tarifas,2.7,% m/m regulados,INDEC serie 148.3
2024-09-01,peso_tarifas,4.53,% m/m regulados,INDEC serie 148.3
2024-08-01,peso_tarifas,5.89,% m/m regulados,INDEC serie 148.3
2024-07-01,peso_tarifas,4.33,% m/m regulados,INDEC serie 148.3
2024-06-01,peso_tarifas,8.06,% m/m regulados,INDEC serie 148.3
2024-05-01,peso_tarifas,4.02,% m/m regulados,INDEC serie 148.3
2024-04-01,peso_tarifas,18.39,% m/m regulados,INDEC serie 148.3
2024-03-01,peso_tarifas,18.13,% m/m regulados,INDEC serie 148.3
2024-02-01,peso_tarifas,21.11,% m/m regulados,INDEC serie 148.3
2024-01-01,peso_tarifas,26.57,% m/m regulados,INDEC serie 148.3
2023-12-01,peso_tarifas,20.68,% m/m regulados,INDEC serie 148.3
2023-11-01,peso_tarifas,10.06,% m/m regulados,INDEC serie 148.3
2023-10-01,peso_tarifas,6.62,% m/m regulados,INDEC serie 148.3
2023-09-01,peso_tarifas,8.32,% m/m regulados,INDEC serie 148.3
2023-08-01,peso_tarifas,8.28,% m/m regulados,INDEC serie 148.3
2023-07-01,peso_tarifas,6.72,% m/m regulados,INDEC serie 148.3
2023-06-01,peso_tarifas,7.18,% m/m regulados,INDEC serie 148.3
2023-05-01,peso_tarifas,9.03,% m/m regulados,INDEC serie 148.3
2023-04-01,peso_tarifas,4.89,% m/m regulados,INDEC serie 148.3
2023-03-01,peso_tarifas,8.29,% m/m regulados,INDEC serie 148.3
2023-02-01,peso_tarifas,5.14,% m/m regulados,INDEC serie 148.3
2023-01-01,peso_tarifas,7.1,% m/m regulados,INDEC serie 148.3
2022-12-01,peso_tarifas,5.11,% m/m regulados,INDEC serie 148.3
2022-11-01,peso_tarifas,6.23,% m/m regulados,INDEC serie 148.3
2022-10-01,peso_tarifas,7.41,% m/m regulados,INDEC serie 148.3
